https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1613865600000,2021-02-21 00:00:00,ADA/USDT,1.11541,1.15399,1.06665,1.10047,912175720,1017388357.30282,1129874
1613779200000,2021-02-20 00:00:00,ADA/USDT,0.92743,1.20250,0.91550,1.11542,2116558333,2310564673.58647,2434046
1613692800000,2021-02-19 00:00:00,ADA/USDT,0.91578,0.95050,0.87770,0.92743,741224685,683812930.73845,740097
1613606400000,2021-02-18 00:00:00,ADA/USDT,0.89407,0.96222,0.89388,0.91580,880522897,817888812.30728,836605
1613520000000,2021-02-17 00:00:00,ADA/USDT,0.87012,0.90248,0.82112,0.89407,698155101,604007532.16835,727375
1613433600000,2021-02-16 00:00:00,ADA/USDT,0.86056,0.90676,0.83276,0.87000,867811836,758863670.38650,906103
1613347200000,2021-02-15 00:00:00,ADA/USDT,0.84499,0.91198,0.68222,0.86003,1656643517,1371862060.74810,1550897
1613260800000,2021-02-14 00:00:00,ADA/USDT,0.91496,0.92276,0.80781,0.84508,902811805,778311466.48768,884433
1613174400000,2021-02-13 00:00:00,ADA/USDT,0.92462,0.95630,0.79888,0.91496,1034676608,928764178.27196,1036531
1613088000000,2021-02-12 00:00:00,ADA/USDT,0.93021,0.95103,0.86800,0.92426,945893680,865304203.39640,973296
1613001600000,2021-02-11 00:00:00,ADA/USDT,0.94300,0.99398,0.86569,0.93026,1529772510,1420121631.78042,1486312
1612915200000,2021-02-10 00:00:00,ADA/USDT,0.70673,0.96000,0.70673,0.94300,2659772365,2212772388.82950,2358069
1612828800000,2021-02-09 00:00:00,ADA/USDT,0.67708,0.71467,0.65773,0.70682,790524423,544360295.12642,765858
1612742400000,2021-02-08 00:00:00,ADA/USDT,0.66088,0.72735,0.63147,0.67672,1469923063,1003469595.00247,1281043
1612656000000,2021-02-07 00:00:00,ADA/USDT,0.63599,0.71043,0.57900,0.66126,2628953923,1701283032.83203,2053014
1612569600000,2021-02-06 00:00:00,ADA/USDT,0.53905,0.66801,0.52006,0.63596,1805637804,1064070804.65497,1385922
1612483200000,2021-02-05 00:00:00,ADA/USDT,0.44037,0.56117,0.43737,0.53929,1648562583,841001673.25128,1427776
1612396800000,2021-02-04 00:00:00,ADA/USDT,0.44273,0.45165,0.40990,0.44037,601882858,260283485.91629,518927
1612310400000,2021-02-03 00:00:00,ADA/USDT,0.42571,0.45065,0.41562,0.44273,652811955,282678817.59797,572104
1612224000000,2021-02-02 00:00:00,ADA/USDT,0.40984,0.45588,0.38926,0.42559,1782563060,756617686.03138,1312940
1612137600000,2021-02-01 00:00:00,ADA/USDT,0.34519,0.42620,0.33127,0.40983,910677165,342638710.91357,751367
1612051200000,2021-01-31 00:00:00,ADA/USDT,0.36451,0.37798,0.33847,0.34505,384050709,136157934.09949,361323
1611964800000,2021-01-30 00:00:00,ADA/USDT,0.34788,0.37820,0.33715,0.36452,546617361,194384460.75575,492877
1611878400000,2021-01-29 00:00:00,ADA/USDT,0.34424,0.36972,0.33050,0.34787,756048185,267143743.09224,680721
1611792000000,2021-01-28 00:00:00,ADA/USDT,0.31141,0.35600,0.30435,0.34430,627324686,210117907.92248,549430
1611705600000,2021-01-27 00:00:00,ADA/USDT,0.34386,0.34441,0.30432,0.31143,590215642,189066057.19620,460532
1611619200000,2021-01-26 00:00:00,ADA/USDT,0.34309,0.35131,0.32270,0.34387,507580338,172545107.20278,462430
1611532800000,2021-01-25 00:00:00,ADA/USDT,0.35396,0.36485,0.34057,0.34325,554772519,197190979.81360,478059
1611446400000,2021-01-24 00:00:00,ADA/USDT,0.34598,0.36985,0.33636,0.35398,619971472,218922988.09342,548184
1611360000000,2021-01-23 00:00:00,ADA/USDT,0.34873,0.35805,0.33578,0.34612,618875414,214933060.06303,489997
1611273600000,2021-01-22 00:00:00,ADA/USDT,0.30804,0.36000,0.27925,0.34874,1244348018,404431352.19920,946704
1611187200000,2021-01-21 00:00:00,ADA/USDT,0.37576,0.37993,0.30000,0.30810,1008064817,345086652.26155,747120
1611100800000,2021-01-20 00:00:00,ADA/USDT,0.36780,0.37730,0.33070,0.37571,887167304,314988792.31993,667020
1611014400000,2021-01-19 00:00:00,ADA/USDT,0.37185,0.38539,0.36206,0.36782,728911877,272306321.23680,538293
1610928000000,2021-01-18 00:00:00,ADA/USDT,0.38082,0.39810,0.36426,0.37169,798240774,300785570.84604,641197
1610841600000,2021-01-17 00:00:00,ADA/USDT,0.35128,0.39849,0.34080,0.38074,1674206543,624495119.26390,1290450
1610755200000,2021-01-16 00:00:00,ADA/USDT,0.30213,0.36936,0.30210,0.35125,1310375588,447144123.23955,935016
1610668800000,2021-01-15 00:00:00,ADA/USDT,0.31250,0.33294,0.27731,0.30207,958099123,297146069.24231,787344
1610582400000,2021-01-14 00:00:00,ADA/USDT,0.31256,0.32559,0.29650,0.31240,700999375,218796938.51773,544851
1610496000000,2021-01-13 00:00:00,ADA/USDT,0.28919,0.31600,0.27125,0.31246,822559877,240028459.76698,592747
1610409600000,2021-01-12 00:00:00,ADA/USDT,0.27584,0.31559,0.26295,0.28929,1231461927,353807499.57111,807090
1610323200000,2021-01-11 00:00:00,ADA/USDT,0.30185,0.30427,0.22938,0.27584,1675029700,444008414.27126,1151816
1610236800000,2021-01-10 00:00:00,ADA/USDT,0.33120,0.34230,0.28000,0.30187,1054957535,332520620.31217,735358
1610150400000,2021-01-09 00:00:00,ADA/USDT,0.30431,0.33898,0.29614,0.33120,853182433,271180926.25956,621876
1610064000000,2021-01-08 00:00:00,ADA/USDT,0.29971,0.32357,0.26395,0.30429,1536358960,455447967.98587,1106166
1609977600000,2021-01-07 00:00:00,ADA/USDT,0.33317,0.35600,0.27802,0.29961,1598362034,512373562.53359,1081937
1609891200000,2021-01-06 00:00:00,ADA/USDT,0.25860,0.34757,0.25305,0.33310,2235795095,664818775.17829,1151325
1609804800000,2021-01-05 00:00:00,ADA/USDT,0.22524,0.26438,0.20699,0.25850,1706453485,402540919.19554,836515
1609718400000,2021-01-04 00:00:00,ADA/USDT,0.20674,0.24100,0.19127,0.22524,1986736544,428217487.26353,870912
1609632000000,2021-01-03 00:00:00,ADA/USDT,0.17758,0.21059,0.17270,0.20670,1533085381,295590259.35525,650579
1609545600000,2021-01-02 00:00:00,ADA/USDT,0.17526,0.18516,0.16828,0.17759,781281611,138605894.93977,386366
1609459200000,2021-01-01 00:00:00,ADA/USDT,0.18158,0.18510,0.16999,0.17517,654388233,117243860.69842,316213
1609372800000,2020-12-31 00:00:00,ADA/USDT,0.18405,0.18675,0.17395,0.18153,599868781,108312995.85600,307898
1609286400000,2020-12-30 00:00:00,ADA/USDT,0.19097,0.19411,0.17530,0.18411,859626775,156931287.86280,423066
1609200000000,2020-12-29 00:00:00,ADA/USDT,0.17656,0.19771,0.17326,0.19100,2076062748,386532161.23394,905947
1609113600000,2020-12-28 00:00:00,ADA/USDT,0.15484,0.18080,0.15285,0.17663,1089482938,183667907.55232,513375
1609027200000,2020-12-27 00:00:00,ADA/USDT,0.15859,0.16680,0.14958,0.15481,926045408,147164114.68116,377254
1608940800000,2020-12-26 00:00:00,ADA/USDT,0.15784,0.16262,0.14863,0.15856,627478315,97625929.93534,279816
1608854400000,2020-12-25 00:00:00,ADA/USDT,0.15312,0.16743,0.15014,0.15773,698593257,110855013.68415,311541
1608768000000,2020-12-24 00:00:00,ADA/USDT,0.13630,0.15466,0.13124,0.15309,703063824,100368002.37499,339434
1608681600000,2020-12-23 00:00:00,ADA/USDT,0.15657,0.15802,0.12582,0.13634,794258925,115254928.80194,368830
1608595200000,2020-12-22 00:00:00,ADA/USDT,0.15285,0.16139,0.14899,0.15659,515789159,80509652.02934,333585
1608508800000,2020-12-21 00:00:00,ADA/USDT,0.16205,0.16656,0.14700,0.15285,544287319,84797089.57171,390431
1608422400000,2020-12-20 00:00:00,ADA/USDT,0.16447,0.16937,0.15546,0.16206,435474760,71481763.57239,263080
1608336000000,2020-12-19 00:00:00,ADA/USDT,0.16521,0.17112,0.16308,0.16454,389870608,65369112.76855,224593
1608249600000,2020-12-18 00:00:00,ADA/USDT,0.16361,0.16991,0.15850,0.16521,468575604,76961462.51510,272320
