https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1616889600000,2021-03-28 00:00:00,XMR/USDT,221.46,233.35,217.75,232.61,171769.421,38808154.30910,115998
1616803200000,2021-03-27 00:00:00,XMR/USDT,221.77,224.00,214.26,221.48,108575.926,23918601.30826,81109
1616716800000,2021-03-26 00:00:00,XMR/USDT,214.66,226.08,214.54,221.77,114979.780,25456692.89142,91870
1616630400000,2021-03-25 00:00:00,XMR/USDT,210.75,221.75,204.52,214.66,210712.671,45418965.86975,119946
1616544000000,2021-03-24 00:00:00,XMR/USDT,218.29,229.68,205.50,210.66,158476.541,34736320.45315,99380
1616457600000,2021-03-23 00:00:00,XMR/USDT,217.34,225.09,211.62,218.28,133849.401,29331037.37153,94328
1616371200000,2021-03-22 00:00:00,XMR/USDT,232.16,233.61,215.42,217.36,166048.510,37650013.58662,106439
1616284800000,2021-03-21 00:00:00,XMR/USDT,232.19,237.53,226.20,232.16,127549.640,29618483.14400,80353
1616198400000,2021-03-20 00:00:00,XMR/USDT,231.62,237.88,231.00,232.17,90141.206,21159754.16459,70201
1616112000000,2021-03-19 00:00:00,XMR/USDT,228.60,236.80,223.70,231.69,132120.648,30590128.96369,93356
1616025600000,2021-03-18 00:00:00,XMR/USDT,236.26,241.06,228.10,228.56,168198.730,39542549.10762,102327
1615939200000,2021-03-17 00:00:00,XMR/USDT,229.99,237.24,226.00,236.23,192507.376,44716500.52044,111740
1615852800000,2021-03-16 00:00:00,XMR/USDT,222.10,230.10,212.53,229.92,159606.606,35336758.05759,114191
1615766400000,2021-03-15 00:00:00,XMR/USDT,232.35,238.37,215.66,222.21,182498.646,40960689.59467,114499
1615680000000,2021-03-14 00:00:00,XMR/USDT,239.70,241.61,229.30,232.39,167707.339,39525959.38866,104674
1615593600000,2021-03-13 00:00:00,XMR/USDT,223.01,239.77,218.43,239.72,193157.772,44539836.33510,112455
1615507200000,2021-03-12 00:00:00,XMR/USDT,221.41,226.33,215.28,223.02,157503.572,34870640.57071,101577
1615420800000,2021-03-11 00:00:00,XMR/USDT,220.45,226.66,213.00,221.45,156578.996,34545359.84311,101561
1615334400000,2021-03-10 00:00:00,XMR/USDT,225.53,227.96,215.17,220.38,162490.596,35912125.41413,110324
1615248000000,2021-03-09 00:00:00,XMR/USDT,221.47,229.32,218.50,225.55,160425.449,35957780.14818,106133
1615161600000,2021-03-08 00:00:00,XMR/USDT,209.32,221.62,204.05,221.46,184630.130,39181082.02202,109437
